Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Alex Abrines,OKC,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,0.096,-0.3,-2.2,-2.5,-0.1,2017,Alex AbrinesOKC2017.0,1,4
Quincy Acy,BRK,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,0.102,-1.1,-0.7,-1.8,0,2017,Quincy AcyBRK2017.0,1,4
Steven Adams,OKC,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,0.13,-0.7,1.2,0.6,1.5,2017,Steven AdamsOKC2017.0,3,4
Arron Afflalo,SAC,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,0.043,-1.4,-2.1,-3.5,-0.6,2017,Arron AfflaloSAC2017.0,1,4
Alexis Ajinca,NOP,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,0.08,-5.1,1,-4.1,-0.3,2017,Alexis AjincaNOP2017.0,7,4
Cole Aldrich,MIN,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,0.116,-2,2.6,0.6,0.4,2017,Cole AldrichMIN2017.0,3,1
LaMarcus Aldridge,SAS,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,3.5,3.7,0.149,-0.3,1.3,1,1.8,2017,LaMarcus AldridgeSAS2017.0,2,1
Lavoy Allen,IND,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,0.9,0.8,0.093,-1.5,1.3,-0.3,0.4,2017,Lavoy AllenIND2017.0,5,2
Tony Allen,MEM,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,0.077,-1.8,2.4,0.6,1.3,2017,Tony AllenMEM2017.0,0,4
Al-Farouq Aminu,POR,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,0.051,-2.3,1.2,-1.1,0.4,2017,Al-Farouq AminuPOR2017.0,5,4
Alan Anderson,LAC,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0,0.1,0.02,-2.6,-2.3,-4.9,-0.2,2017,Alan AndersonLAC2017.0,1,4
